length,gc,entropy,obs_gc,obs_entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ComparisonsPerChar,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
128,0.8,1.1,0.898438,1.428331,159,4050.81,4050.11,us,7207900.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,168,4124.07,4123.83,us,6699810.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,113,4618.16,4617.36,us,8896120.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,167,4084.37,4084.44,us,6804930.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,172,4124.02,4123.3,us,6544850.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,100,10673.1,5349.56,us,8676690.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,164,4353.69,4352.42,us,6502770.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,171,4121.77,4121.23,us,6586420.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,166,5000.83,5000.38,us,5591930.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,128,4887.16,4870.45,us,7445490.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,167,4025.24,4025.03,us,6905360.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,119,5130.71,5129.42,us,7604270.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,131,5329.77,5329.62,us,6648210.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,167,4356.54,4356.45,us,6380040.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,149,4510.18,4509.82,us,6907600.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,132,4692.83,4692.58,us,7493550.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,165,4066.81,4066.26,us,6918210.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,135,4331.31,4331.09,us,7938550.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,155,4608.63,4608.36,us,6498210.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,169,4088.6,4088.32,us,6718020.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,171,4660.9,4659.24,us,5825870.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,136,4366.67,4365.69,us,7817730.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,172,4115.66,4114.8,us,6558360.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,173,4103.99,4103.29,us,6538740.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,174,4044.08,4043.29,us,6597630.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,130,5074.59,5072.77,us,7038560.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,165,4371.98,4371.35,us,6435360.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,171,4072.82,4072.34,us,6665500.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,169,4079.51,4079.14,us,6733140.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,170,4105.4,4104.92,us,6651490.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,140,5001.07,4940.06,us,6711390.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,133,6057.06,6049.17,us,5769320.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,130,4389.57,4388.88,us,8135330.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,145,4277.01,4266.97,us,7502130.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,136,5038.06,4997.39,us,6829530.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,106,6735.93,6721.59,us,6514710.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,147,4296.85,4288.62,us,7362710.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,161,4128.34,4127.96,us,6984110.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,99,7114.67,7097.42,us,6605970.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,96,7207.45,7170.48,us,6743000.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,152,4168.66,4167.93,us,7326700.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,132,5021.03,4984.54,us,7054630.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,132,5168.45,5145.43,us,6834030.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,139,4892.96,4892.1,us,6825940.0,,,,,2176,2048,0.195317,0,128,128,906594.0
128,0.8,1.1,0.898438,1.428331,170,4616.68,4615.21,us,5916050.0,,,,,2176,2048,0.195317,0,128,128,906594.0
