length,gc,entropy,obs_gc,obs_entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,LPS_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
64,0.5,1.9,0.46875,1.985835,22,33533.9,33530.5,us,6292310.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,21,37834.8,37831.1,us,5842580.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32655.1,32649.4,us,6462110.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32447.4,32444.0,us,6503020.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32263.3,32260.2,us,6540080.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,34645.4,34641.5,us,6090490.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32561.4,32557.8,us,6480300.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32389.7,32387.7,us,6514340.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32456.8,32454.7,us,6500890.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32331.0,32329.4,us,6526090.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32735.0,32731.2,us,6445970.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,36521.5,36518.1,us,5777530.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32617.4,32615.3,us,6468870.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.5,1.9,0.46875,1.985835,22,32440.4,32440.2,us,6503790.0,,,,,576,2.71827,512,0,64,64,12617300.0
