base_name,length,gc,entropy,mean,min,max,median,mode,std_dev,var,range,mean_dev,q1,q2,q3,iqr,label
snips_bp_64_0.3906_1.915.csv,64,0.3906,1.915,5411.8652,5248.86,6286.82,5344.8,5248.86,220.64433644456236,48683.923205061226,1037.96,131.2233120000001,5310.889999999999,5344.8,5379.0175,68.12750000000051,real_time
snips_bp_64_0.3906_1.9621.csv,64,0.3906,1.9621,5487.562600000001,5257.77,6329.17,5370.375,5257.77,233.94093144934638,54728.359407387776,1071.3999999999996,184.04513600000044,5326.5275,5370.375,5614.4825,287.9549999999999,real_time
snips_bp_64_0.4219_1.9816.csv,64,0.4219,1.9816,5524.6994,5250.83,6381.59,5426.83,5250.83,259.93309249324534,67565.21257310205,1130.7600000000002,213.6197040000001,5313.2825,5426.83,5686.8475,373.5649999999996,real_time
snips_bp_64_0.4688_1.9079.csv,64,0.4688,1.9079,5455.0618,5267.84,6154.44,5389.855,5267.84,204.5587927730693,41844.29970077551,886.5999999999995,137.87619200000026,5344.8475,5389.855,5464.1975,119.35000000000036,real_time
snips_bp_64_0.4688_1.9576.csv,64,0.4688,1.9576,5572.385,5308.45,7395.06,5487.46,5308.45,324.61710524454344,105376.26501734697,2086.6100000000006,199.11520000000004,5377.3975,5487.46,5641.9349999999995,264.53749999999945,real_time
snips_bp_64_0.5156_1.9816.csv,64,0.5156,1.9816,5557.9918,5265.09,7661.89,5459.9400000000005,5265.09,356.1474450606441,126841.00262322451,2396.8,202.75451999999993,5371.885,5459.9400000000005,5670.462500000001,298.5775000000003,real_time
snips_bp_64_0.5312_1.9362.csv,64,0.5312,1.9362,5415.7838,5267.17,6929.58,5319.91,5267.17,307.8119708449776,94748.20939546936,1662.4099999999999,168.09133600000007,5290.7699999999995,5319.91,5372.1175,81.34750000000076,real_time
snips_bp_64_0.5781_1.9691.csv,64,0.5781,1.9691,5520.883600000001,5278.21,6340.77,5478.3150000000005,5278.21,223.55396226396525,49976.3740439184,1062.5600000000004,176.40534400000004,5331.97,5478.3150000000005,5621.545,289.5749999999998,real_time
snips_bp_64_0.6094_1.9645.csv,64,0.6094,1.9645,5448.260800000001,5270.41,6111.82,5348.53,5312.9,210.42859570206443,44280.19388914289,841.4099999999999,161.92668800000047,5312.584999999999,5348.53,5501.3675,188.78250000000116,real_time
snips_bp_128_0.3828_1.9339.csv,128,0.3828,1.9339,,,,,0,,,,,,,,,real_time
snips_bp_128_0.3984_1.9681.csv,128,0.3984,1.9681,,,,,0,,,,,,,,,real_time
snips_bp_128_0.4453_1.9489.csv,128,0.4453,1.9489,,,,,0,,,,,,,,,real_time
snips_bp_128_0.4609_1.9654.csv,128,0.4609,1.9654,,,,,0,,,,,,,,,real_time
snips_bp_128_0.5156_1.9957.csv,128,0.5156,1.9957,,,,,0,,,,,,,,,real_time
snips_bp_128_0.5312_1.9908.csv,128,0.5312,1.9908,,,,,0,,,,,,,,,real_time
snips_bp_128_0.5625_1.9808.csv,128,0.5625,1.9808,,,,,0,,,,,,,,,real_time
snips_bp_128_0.5625_1.9819.csv,128,0.5625,1.9819,,,,,0,,,,,,,,,real_time
snips_bp_128_0.6094_1.9533.csv,128,0.6094,1.9533,,,,,0,,,,,,,,,real_time
snips_bp_256_0.4062_1.9732.csv,256,0.4062,1.9732,,,,,0,,,,,,,,,real_time
snips_bp_256_0.4375_1.9744.csv,256,0.4375,1.9744,,,,,0,,,,,,,,,real_time
snips_bp_256_0.4727_1.9926.csv,256,0.4727,1.9926,,,,,0,,,,,,,,,real_time
snips_bp_256_0.4961_1.9899.csv,256,0.4961,1.9899,,,,,0,,,,,,,,,real_time
snips_bp_256_0.5039_1.9648.csv,256,0.5039,1.9648,,,,,0,,,,,,,,,real_time
snips_bp_256_0.5391_1.99.csv,256,0.5391,1.99,,,,,0,,,,,,,,,real_time
snips_bp_256_0.543_1.9941.csv,256,0.543,1.9941,,,,,0,,,,,,,,,real_time
snips_bp_256_0.5547_1.9897.csv,256,0.5547,1.9897,,,,,0,,,,,,,,,real_time
snips_bp_256_0.5664_1.987.csv,256,0.5664,1.987,,,,,0,,,,,,,,,real_time
snips_bp_512_0.4297_1.984.csv,512,0.4297,1.984,,,,,0,,,,,,,,,real_time
snips_bp_512_0.4824_1.9917.csv,512,0.4824,1.9917,,,,,0,,,,,,,,,real_time
snips_bp_512_0.4961_1.9823.csv,512,0.4961,1.9823,,,,,0,,,,,,,,,real_time
snips_bp_512_0.5_1.9985.csv,512,0.5,1.9985,,,,,0,,,,,,,,,real_time
snips_bp_512_0.5117_1.9981.csv,512,0.5117,1.9981,,,,,0,,,,,,,,,real_time
snips_bp_512_0.5215_1.995.csv,512,0.5215,1.995,,,,,0,,,,,,,,,real_time
snips_bp_512_0.5332_1.993.csv,512,0.5332,1.993,,,,,0,,,,,,,,,real_time
snips_bp_512_0.5527_1.9859.csv,512,0.5527,1.9859,,,,,0,,,,,,,,,real_time
snips_bp_512_0.5801_1.9798.csv,512,0.5801,1.9798,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.446_1.9902.csv,1000,0.446,1.9902,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.495_1.9967.csv,1000,0.495,1.9967,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.495_1.9975.csv,1000,0.495,1.9975,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.499_1.9992.csv,1000,0.499,1.9992,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.503_1.9975.csv,1000,0.503,1.9975,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.515_1.9986.csv,1000,0.515,1.9986,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.52_1.9986.csv,1000,0.52,1.9986,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.529_1.9914.csv,1000,0.529,1.9914,,,,,0,,,,,,,,,real_time
snips_bp_1000_0.573_1.9835.csv,1000,0.573,1.9835,,,,,0,,,,,,,,,real_time
snips_bp_2000_0.42_1.9792.csv,2000,0.42,1.9792,,,,,0,,,,,,,,,real_time
snips_bp_2000_0.4855_1.9977.csv,2000,0.4855,1.9977,,,,,0,,,,,,,,,real_time
snips_bp_2000_0.49_1.9979.csv,2000,0.49,1.9979,,,,,0,,,,,,,,,real_time
snips_bp_2000_0.4935_1.9998.csv,2000,0.4935,1.9998,,,,,0,,,,,,,,,real_time
snips_bp_2000_0.4945_1.9997.csv,2000,0.4945,1.9997,,,,,0,,,,,,,,,real_time
