base_name,length,gc,entropy,mean,min,max,median,mode,std_dev,var,range,mean_dev,q1,q2,q3,iqr,label
snips_kmp_512_0.4297_1.984.csv,512,0.4297,1.984,30006.246000000006,29160.0,34017.2,29694.949999999997,29160.0,949.6058873607535,901751.3413102041,4857.199999999997,636.448720000002,29457.375,29694.949999999997,30116.6,659.2249999999985,real_time
snips_kmp_1000_0.52_1.9986.csv,1000,0.52,1.9986,29101.571999999996,27990.7,38659.0,28540.95,27990.7,1891.6224428090227,3578235.4661387745,10668.3,1053.7591999999977,28332.325,28540.95,28795.95,463.625,real_time
snips_kmp_1000_0.503_1.9975.csv,1000,0.503,1.9975,31036.252,29908.8,36447.5,30546.8,29908.8,1233.1225256896678,1520591.163363265,6538.700000000001,880.8686400000003,30284.825,30546.8,31322.775,1037.9500000000007,real_time
snips_kmp_2000_0.42_1.9792.csv,2000,0.42,1.9792,28597.552000000003,27726.0,32922.6,28312.9,27726.0,1166.9497642755903,1361771.7523428558,5196.5999999999985,685.1350400000015,28045.425,28312.9,28483.399999999998,437.97499999999854,real_time
snips_kmp_128_0.5312_1.9908.csv,128,0.5312,1.9908,30478.453999999998,29444.8,39058.0,30049.1,29444.8,1552.8441106313442,2411324.83192245,9613.2,818.0423999999989,29836.475,30049.1,30341.55,505.0750000000007,real_time
snips_kmp_64_0.5781_1.9691.csv,64,0.5781,1.9691,33547.846,32144.4,46874.7,32753.45,32778.9,2552.6252500170262,6515895.667024487,14730.299999999996,1376.5939199999984,32442.5,32753.45,33433.0,990.5,real_time
snips_kmp_256_0.5391_1.99.csv,256,0.5391,1.99,31191.866,30289.6,34300.2,30921.35,30289.6,815.9166993320943,665720.0602489791,4010.5999999999985,585.5497600000006,30665.975,30921.35,31443.274999999998,777.2999999999993,real_time
snips_kmp_64_0.6094_1.9645.csv,64,0.6094,1.9645,32335.914,30258.9,38790.7,31603.699999999997,30258.9,2036.386459855209,4146869.8138816315,8531.799999999996,1624.2688,30664.95,31603.699999999997,33609.55,2944.600000000002,real_time
snips_kmp_128_0.6094_1.9533.csv,128,0.6094,1.9533,32193.71,31065.4,37615.6,31829.35,31065.4,1255.6705219498772,1576708.4596938773,6550.199999999997,753.9831999999994,31553.225,31829.35,32168.825,615.6000000000022,real_time
snips_kmp_1000_0.529_1.9914.csv,1000,0.529,1.9914,31470.336,30559.7,35626.1,31112.6,30559.7,1021.3311273719091,1043117.271738775,5066.399999999998,692.5132799999997,30920.5,31112.6,31489.125,568.625,real_time
snips_kmp_64_0.5156_1.9816.csv,64,0.5156,1.9816,29463.065999999995,28169.3,36904.5,28836.75,28169.3,1691.1227902424919,2859896.291677551,8735.2,1128.6936799999978,28550.875,28836.75,29567.050000000003,1016.1750000000029,real_time
snips_kmp_512_0.5215_1.995.csv,512,0.5215,1.995,27172.667999999998,26153.8,32555.6,26634.35,26153.8,1323.238568805909,1750960.30997551,6401.799999999999,928.248639999999,26410.425,26634.35,27174.774999999998,764.3499999999985,real_time
snips_kmp_2000_0.5045_1.9899.csv,2000,0.5045,1.9899,30632.992000000002,29610.3,36102.8,30272.55,29610.3,1109.6563571462575,1231337.2309551027,6492.500000000004,725.484480000001,30004.1,30272.55,30695.274999999998,691.1749999999993,real_time
snips_kmp_128_0.4609_1.9654.csv,128,0.4609,1.9654,30514.566000000003,29252.5,38460.1,30106.25,29252.5,1410.2975538704804,1988939.1904530604,9207.599999999999,819.1497600000008,29840.375,30106.25,30881.425,1041.0499999999993,real_time
snips_kmp_2000_0.4855_1.9977.csv,2000,0.4855,1.9977,31431.58000000001,30314.2,35926.0,31015.25,30314.2,1064.2703320077267,1132671.3395918368,5611.799999999999,761.7552000000038,30797.024999999998,31015.25,31666.274999999998,869.25,real_time
snips_kmp_2000_0.49_1.9979.csv,2000,0.49,1.9979,28581.963999999993,27660.2,34958.0,28264.9,27660.2,1154.648713388887,1333213.651330612,7297.799999999999,656.609279999996,28057.2,28264.9,28561.5,504.2999999999993,real_time
snips_kmp_64_0.3906_1.9621.csv,64,0.3906,1.9621,33784.028,31644.4,40393.1,32975.600000000006,31644.4,2338.67248058485,5469388.9714448955,8748.699999999997,1780.560319999999,32239.775,32975.600000000006,34385.075,2145.2999999999956,real_time
snips_kmp_256_0.5547_1.9897.csv,256,0.5547,1.9897,29379.692000000003,28363.8,37760.0,28990.15,28363.8,1500.3247366636656,2250974.3154448974,9396.2,763.4672000000016,28786.125,28990.15,29246.625,460.5,real_time
