2025-12-09T12:20:47+00:00
Running ./benchmark_runner
Run on (8 X 1767.02 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 10240 KiB (x1)
Load Average: 1.40, 1.42, 1.74
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"AllocatedMemory_Bytes","BadCharTable_Bytes","ChosenAlgorithm","ComparisonsPerChar","LPS_Bytes","MaskTable_Bytes","Matches","PatternLength","ReverseComplement_Bytes","TotalComparisons"
"snip00001 len=64 start=257866 method=systematic gc=0.3906 ent=1.9621/Hybrid",112,5658.37,5658.32,us,7.32431e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00002 len=64 start=773598 method=systematic gc=0.6094 ent=1.9645/Hybrid",119,5623.04,5623.09,us,6.93666e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00003 len=64 start=1289330 method=systematic gc=0.4688 ent=1.9079/Hybrid",117,5707.48,5706.9,us,6.95162e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00004 len=64 start=1805062 method=systematic gc=0.4688 ent=1.9576/Hybrid",118,5637.68,5637.78,us,6.97722e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00005 len=64 start=2320794 method=systematic gc=0.5156 ent=1.9816/Hybrid",116,5681.98,5681.89,us,7.04241e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00006 len=64 start=2836526 method=systematic gc=0.4219 ent=1.9816/Hybrid",120,6003.64,6003.27,us,6.44323e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00007 len=64 start=3352258 method=systematic gc=0.5781 ent=1.9691/Hybrid",91,5957.4,5957.32,us,8.5621e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00008 len=64 start=3867990 method=systematic gc=0.5312 ent=1.9362/Hybrid",121,5567.6,5567.36,us,6.89029e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00009 len=64 start=4383722 method=systematic gc=0.3906 ent=1.9150/Hybrid",126,5613.45,5613.66,us,6.5623e+06,,,,,2112,0,3,2,0,2048,1,64,64,9.2833e+06
"snip00010 len=128 start=257862 method=systematic gc=0.3984 ent=1.9681/Hybrid",32,20591.1,20591.3,us,7.04433e+06,,,,,2176,2048,1,0.879555,0,0,1,128,128,4.08259e+06
"snip00011 len=128 start=773586 method=systematic gc=0.6094 ent=1.9533/Hybrid",35,20198.2,20198.4,us,6.56579e+06,,,,,2176,2048,1,0.875231,0,0,1,128,128,4.06252e+06
"snip00012 len=128 start=1289310 method=systematic gc=0.4453 ent=1.9489/Hybrid",55,12753.2,12753.3,us,6.61741e+06,,,,,2176,2048,1,0.572553,0,0,1,128,128,2.65759e+06
"snip00013 len=128 start=1805034 method=systematic gc=0.4609 ent=1.9654/Hybrid",36,19205.4,19205,us,6.71359e+06,,,,,2176,2048,1,0.838885,0,0,1,128,128,3.89381e+06
"snip00014 len=128 start=2320758 method=systematic gc=0.5312 ent=1.9908/Hybrid",47,15647.7,15647.2,us,6.31157e+06,,,,,2176,2048,1,0.663248,0,0,1,128,128,3.07857e+06
"snip00015 len=128 start=2836482 method=systematic gc=0.5156 ent=1.9957/Hybrid",33,21015.5,21014.4,us,6.69333e+06,,,,,2176,2048,1,0.921394,0,0,1,128,128,4.27679e+06
"snip00016 len=128 start=3352206 method=systematic gc=0.5625 ent=1.9808/Hybrid",33,21122.8,21123.2,us,6.65886e+06,,,,,2176,2048,1,0.937469,0,0,1,128,128,4.3514e+06
"snip00017 len=128 start=3867930 method=systematic gc=0.5625 ent=1.9819/Hybrid",40,17874.1,17872.2,us,6.49283e+06,,,,,2176,2048,1,0.794684,0,0,1,128,128,3.68865e+06
"snip00018 len=128 start=4383654 method=systematic gc=0.3828 ent=1.9339/Hybrid",33,21160.9,21159.6,us,6.6474e+06,,,,,2176,2048,1,0.930375,0,0,1,128,128,4.31848e+06
"snip00019 len=256 start=257855 method=systematic gc=0.4727 ent=1.9926/Hybrid",35,20061.6,20059,us,6.61141e+06,,,,,2304,2048,1,0.878595,0,0,1,256,256,4.07813e+06
"snip00020 len=256 start=773565 method=systematic gc=0.5391 ent=1.9900/Hybrid",37,18613.6,18611.7,us,6.74037e+06,,,,,2304,2048,1,0.809206,0,0,1,256,256,3.75605e+06
"snip00021 len=256 start=1289275 method=systematic gc=0.5039 ent=1.9648/Hybrid",36,18978,18976,us,6.79462e+06,,,,,2304,2048,1,0.805915,0,0,1,256,256,3.74078e+06
"snip00022 len=256 start=1804985 method=systematic gc=0.4062 ent=1.9732/Hybrid",55,12455,12454.8,us,6.77597e+06,,,,,2304,2048,1,0.55617,0,0,1,256,256,2.58155e+06
"snip00023 len=256 start=2320695 method=systematic gc=0.4961 ent=1.9899/Hybrid",35,20544.1,20543.2,us,6.45559e+06,,,,,2304,2048,1,0.872596,0,0,1,256,256,4.05029e+06
"snip00024 len=256 start=2836405 method=systematic gc=0.5664 ent=1.9870/Hybrid",41,17779.6,17778.7,us,6.36778e+06,,,,,2304,2048,1,0.75621,0,0,1,256,256,3.51006e+06
"snip00025 len=256 start=3352115 method=systematic gc=0.5430 ent=1.9941/Hybrid",46,15230.5,15230.1,us,6.62541e+06,,,,,2304,2048,1,0.662546,0,0,1,256,256,3.07531e+06
"snip00026 len=256 start=3867825 method=systematic gc=0.5547 ent=1.9897/Hybrid",35,20513.9,20514.3,us,6.46468e+06,,,,,2304,2048,1,0.907824,0,0,1,256,256,4.2138e+06
"snip00027 len=256 start=4383535 method=systematic gc=0.4375 ent=1.9744/Hybrid",32,20813.5,20811.1,us,6.96993e+06,,,,,2304,2048,1,0.807368,0,0,1,256,256,3.74752e+06
"snip00028 len=512 start=257841 method=systematic gc=0.5332 ent=1.9930/Hybrid",33,20921.8,20921.6,us,6.72302e+06,,,,,2560,2048,1,0.884412,0,0,1,512,512,4.10513e+06
"snip00029 len=512 start=773523 method=systematic gc=0.5527 ent=1.9859/Hybrid",34,20162,20160.9,us,6.77148e+06,,,,,2560,2048,1,0.841107,0,0,1,512,512,3.90413e+06
"snip00030 len=512 start=1289205 method=systematic gc=0.4961 ent=1.9823/Hybrid",35,20219.2,20216.7,us,6.55987e+06,,,,,2560,2048,1,0.823751,0,0,1,512,512,3.82356e+06
"snip00031 len=512 start=1804887 method=systematic gc=0.4297 ent=1.9840/Hybrid",39,17613.2,17613.3,us,6.75722e+06,,,,,2560,2048,1,0.783854,0,0,1,512,512,3.63838e+06
"snip00032 len=512 start=2320569 method=systematic gc=0.5000 ent=1.9985/Hybrid",38,18595.1,18595.4,us,6.56876e+06,,,,,2560,2048,1,0.799742,0,0,1,512,512,3.71213e+06
"snip00033 len=512 start=2836251 method=systematic gc=0.5801 ent=1.9798/Hybrid",49,14174,14172.6,us,6.68385e+06,,,,,2560,2048,1,0.604557,0,0,1,512,512,2.80614e+06
"snip00034 len=512 start=3351933 method=systematic gc=0.5117 ent=1.9981/Hybrid",29,23886.6,23887,us,6.70059e+06,,,,,2560,2048,1,1.06171,0,0,1,512,512,4.9281e+06
"snip00035 len=512 start=3867615 method=systematic gc=0.5215 ent=1.9950/Hybrid",34,20909.5,20909.5,us,6.52906e+06,,,,,2560,2048,1,0.960902,0,0,1,512,512,4.46017e+06
"snip00036 len=512 start=4383297 method=systematic gc=0.4824 ent=1.9917/Hybrid",36,19364.6,19364.3,us,6.65839e+06,,,,,2560,2048,1,0.847269,0,0,1,512,512,3.93273e+06
"snip00037 len=1000 start=257814 method=systematic gc=0.5200 ent=1.9986/Hybrid",34,19668.9,19669,us,6.94085e+06,,,,,3048,2048,1,0.874119,0,0,1,1000,1000,4.05736e+06
"snip00038 len=1000 start=773442 method=systematic gc=0.5290 ent=1.9914/Hybrid",39,18071,18071.6,us,6.58585e+06,,,,,3048,2048,1,0.779216,0,0,1,1000,1000,3.61685e+06
"snip00039 len=1000 start=1289070 method=systematic gc=0.4950 ent=1.9967/Hybrid",39,18093.7,18094,us,6.5777e+06,,,,,3048,2048,1,0.794873,0,0,1,1000,1000,3.68952e+06
"snip00040 len=1000 start=1804698 method=systematic gc=0.4460 ent=1.9902/Hybrid",52,13356,13356.2,us,6.68324e+06,,,,,3048,2048,1,0.58442,0,0,1,1000,1000,2.71268e+06
"snip00041 len=1000 start=2320326 method=systematic gc=0.4990 ent=1.9992/Hybrid",46,17090.7,17089.8,us,5.90442e+06,,,,,3048,2048,1,0.682495,0,0,1,1000,1000,3.1679e+06
"snip00042 len=1000 start=2835954 method=systematic gc=0.5730 ent=1.9835/Hybrid",38,18078.8,18078.5,us,6.75656e+06,,,,,3048,2048,1,0.788317,0,0,1,1000,1000,3.65909e+06
"snip00043 len=1000 start=3351582 method=systematic gc=0.5150 ent=1.9986/Hybrid",34,20410.9,20410.6,us,6.68864e+06,,,,,3048,2048,1,0.91629,0,0,1,1000,1000,4.2531e+06
