snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ComparisonsPerChar,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
24,256,2836405,systematic,0.5664,1.987,41,16788.6,16787.9,us,6743620.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,37,19106.9,19092.5,us,6570660.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,36,19310.5,19298.1,us,6681220.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,36,19405.0,19393.1,us,6648480.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,35,18014.4,18011.4,us,7363030.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,17621.2,17619.5,us,6932600.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,37,19338.1,19327.6,us,6490730.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,39,17559.4,17557.0,us,6778860.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,35,17315.0,17313.7,us,7659770.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,36,19920.9,19896.8,us,6480190.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17631.1,17628.1,us,6582730.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,18382.1,18369.4,us,6317100.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17604.9,17603.5,us,6591950.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17729.0,17719.9,us,6548630.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,17904.5,17895.7,us,6825590.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,39,17617.1,17611.1,us,6758050.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17395.5,17391.2,us,6509670.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17632.5,17626.2,us,6583460.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17413.2,17409.7,us,6665340.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17344.7,17341.1,us,6528490.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,37,18096.1,18092.1,us,6933960.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,35,17642.6,17639.0,us,7518490.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17221.5,17219.1,us,6574720.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,39,17530.9,17526.7,us,6790610.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,18039.0,18029.2,us,6279320.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,17386.7,17384.5,us,7026280.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17508.6,17504.5,us,6467520.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17935.0,17931.2,us,6313630.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,17925.1,17920.5,us,6816140.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,18251.8,18246.3,us,6204610.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17211.8,17209.9,us,6578270.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17924.1,17916.0,us,6476970.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17007.9,17006.1,us,6657100.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17458.6,17454.4,us,6486120.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17098.6,17096.9,us,6787260.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17605.4,17602.2,us,6592420.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,39,17464.1,17461.5,us,6815970.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17382.0,17378.7,us,6514340.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,18732.8,18718.0,us,6525750.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,17941.7,17938.2,us,6809410.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,18054.9,18051.7,us,6428270.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17498.5,17495.0,us,6471030.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17678.2,17674.1,us,6405460.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,39,17466.6,17463.8,us,6815040.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17062.8,17061.1,us,6801500.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17023.6,17021.6,us,6651030.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,38,17660.7,17657.0,us,6917880.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,37,17275.0,17273.2,us,7262700.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,41,17533.2,17531.8,us,6457470.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
24,256,2836405,systematic,0.5664,1.987,40,17614.6,17613.0,us,6588390.0,,,,,2304,2048,0.75621,1,256,256,3510060.0
