snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ChosenAlgorithm,ComparisonsPerChar,LPS_Bytes,MaskTable_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
8,64,3867990,systematic,0.5312,1.9362,112,5278.15,5277.87,us,7852290.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,115,5701.95,5701.67,us,7079020.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,103,6437.7,6437.77,us,7000030.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,118,5557.64,5557.7,us,7077760.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,125,5700.27,5700.03,us,6514570.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,114,6585.77,6585.4,us,6182810.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,124,5541.14,5540.87,us,6755730.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,121,5500.58,5500.23,us,6974400.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,124,5686.73,5686.4,us,6582850.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,106,5465.02,5464.85,us,8012880.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,114,5560.32,5560.13,us,7322900.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
8,64,3867990,systematic,0.5312,1.9362,108,6298.2,6298.15,us,6823950.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
