snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,LPS_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
50,2000,2319822,systematic,0.4855,1.9977,22,31291.2,31289.6,us,6742960.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,32762.9,32759.6,us,6440390.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,21,31954.4,31955.4,us,6916870.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,21,34083.8,34084.7,us,6484770.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31897.6,31898.0,us,6326760.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31198.3,31198.8,us,6468550.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,33296.1,33294.9,us,6336830.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31163.0,31162.9,us,6476000.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,31711.6,31709.6,us,6653630.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30978.6,30977.3,us,6514800.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30959.5,30958.4,us,6815090.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31530.3,31529.2,us,6400760.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31027.5,31025.6,us,6504660.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,31003.0,31001.7,us,6805560.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,21,32861.1,32859.5,us,6726540.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30883.2,30878.3,us,6535690.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31055.8,31053.8,us,6498750.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,31181.1,31179.5,us,6766750.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,32606.0,32600.4,us,6471840.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,33443.6,33440.9,us,6309160.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30984.4,30981.3,us,6810060.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30896.8,30895.2,us,6532100.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31334.4,31332.9,us,6440870.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31093.2,31091.3,us,6490910.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30919.5,30917.4,us,6527430.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30933.7,30930.8,us,6821170.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,31988.6,31987.9,us,6595750.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,21,31327.9,31328.7,us,7055230.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,31116.2,31114.3,us,6486120.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30817.3,30816.8,us,6846390.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,21,32926.3,32925.3,us,6713110.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30811.8,30809.5,us,6550280.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30314.2,30314.1,us,6657340.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,32097.7,32097.2,us,6287490.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30521.9,30521.8,us,6612030.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30697.1,30696.4,us,6574420.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30841.8,30840.4,us,6543730.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30762.0,30760.4,us,6560740.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30676.2,30673.5,us,6878390.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30636.9,30635.0,us,6887040.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30558.9,30557.4,us,6604320.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30736.7,30736.1,us,6565940.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30645.7,30644.4,us,6585580.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30754.4,30753.5,us,6562200.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30751.4,30749.7,us,6861350.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,31051.0,31050.4,us,6794890.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,19,35926.0,35923.5,us,6800500.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30785.7,30785.7,us,6853330.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,22,30792.1,30791.2,us,6852100.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
50,2000,2319822,systematic,0.4855,1.9977,23,30990.6,30989.6,us,6512210.0,,,,,18000,2.64739,16000,1,2000,2000,12288300.0
